,slug,Exchange,Symbol,Base,Quote,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated,rn
0,algorand,Stellarterm,ALGO/XLM,ALGO,XLM,0.017271055177559596,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:12:10.000Z,1
1,algorand,Kraken,ALGO/XBT,ALGO,XBT,1.8135772085662147,239196.93793755,299785.89680092,278183.96105513,0.11600032869563662,0.0069235862,2021-10-10T17:13:54.000Z,1
2,algorand,Binance JEX,ALGO/USDT,ALGO,USDT,2.0819531393635997,0.0,0.0,55493886.08862861,23.140475110293657,0.0,2021-10-04T08:21:09.000Z,1
3,algorand,Mandala Exchange,ALGO/USDT,ALGO,USDT,1.8135236469654599,51035.55677477,92015.93677312,44749062.85700852,18.659975868292303,344.3768675337,2021-10-10T17:12:11.000Z,2
4,algorand,Binance,ALGO/USDT,ALGO,USDT,1.8121240146028623,592295.55202572,1193613.30136826,43732344.02071774,18.23601282328626,672.0376967429256,2021-10-10T17:13:54.000Z,3
5,algorand,OKEx,ALGO/USDT,ALGO,USDT,1.81262388330379,219221.41246219,430933.94914359,25657427.9767976,10.69892767183408,0.0074225969,2021-10-10T17:13:53.000Z,4
6,algorand,Bitrue,ALGO/USDT,ALGO,USDT,1.8131237520047176,52351.60381552,63278.74928893,24142438.76882364,10.067190150271886,407.247404213,2021-10-10T17:12:10.000Z,5
7,algorand,Crypto.com Exchange,ALGO/USDC,ALGO,USDC,1.81284845198902,680098.05961156,580274.36761243,241044.70553631,0.1005135772979147,240.4663260808,2021-10-10T17:12:07.000Z,1
8,algorand,CoinJar,ALGO/USDC,ALGO,USDC,1.847724374470921,80098.53439337,132493.67988103,20250.42806388,0.008444255027240383,0.0026005768,2021-10-10T17:12:11.000Z,2
9,algorand,Coinbase Exchange,ALGO/USD,ALGO,USD,1.8159,1247089.73171433,1818216.77412958,30233245.962,12.607004572894857,1.8301e-06,2021-10-10T17:09:10.000Z,1
10,algorand,HitBTC,ALGO/USD,ALGO,USD,1.8147073360492565,1154004.8936021,170462.01799619,14551052.68350371,6.067664317352377,0.0054863488,2021-10-10T17:12:07.000Z,2
11,algorand,Binance.US,ALGO/USD,ALGO,USD,1.813,288930.95611958,531703.25315325,4625105.3584,1.928629313463636,594.3514394971679,2021-10-10T17:13:53.000Z,3
12,algorand,Kraken,ALGO/USD,ALGO,USD,1.81467,649117.182863,841407.22342951,2503565.56520931,1.0439653938848164,1.4815e-06,2021-10-10T17:13:54.000Z,4
13,algorand,Coinlist Pro,ALGO/USD,ALGO,USD,1.8154,50678.72660309,50386.39017478,309101.0835,0.1288925039034568,5.412e-07,2021-10-10T17:12:10.000Z,5
14,algorand,Binance,ALGO/TUSD,ALGO,TUSD,0.0,2188.93057082,11216.71573558,0.0,0.0,558.0157879697305,2021-10-10T15:45:09.000Z,1
15,algorand,Paribu,ALGO/TRY,ALGO,TRY,1.8146980516225806,112382.50549501,288056.02134793,1916546.1237049,0.7991833154825833,4.086e-07,2021-10-10T17:13:53.000Z,1
16,algorand,Bitci,ALGO/TRY,ALGO,TRY,1.8915637149509772,9109.09797291,1059.42300382,13306.85737588,0.005548845532478879,30.1299590121,2021-10-10T17:12:10.000Z,2
17,algorand,Satang Pro,ALGO/THB,ALGO,THB,1.86115225176657,4535.59084901,9.19817825,5434.13943244,0.002265989591743703,1.227e-07,2021-10-10T17:12:10.000Z,1
18,algorand,EXMO,ALGO/RUB,ALGO,RUB,1.7455956643013835,36.84674641,874.10293166,1227572.54761911,0.5118872363505402,1.431e-07,2021-10-10T17:12:07.000Z,1
19,algorand,ZB.COM,ALGO/QC,ALGO,QC,1.8141928002813927,7826.10758287,4439.79917028,2221560.90403986,0.9263718659715557,67.4576212563,2021-10-10T17:12:10.000Z,1
20,algorand,Bithumb,ALGO/KRW,ALGO,KRW,1.86113757542461,165358.19907302,182997.39236572,928871.12684826,0.38733130271637395,7.367e-07,2021-10-10T17:13:53.000Z,1
21,algorand,Korbit,ALGO/KRW,ALGO,KRW,1.86113757542461,44296.39446769,50102.58947264,18982.16141069,0.007915398697473049,5.171e-07,2021-10-10T17:12:07.000Z,2
22,algorand,KuCoin,ALGO/KCS,ALGO,KCS,1.8150373593513272,20930.21941203,23415.40583323,33798.8074479,0.0140938131681141,0.0021643945,2021-10-10T17:13:53.000Z,1
23,algorand,Bitbns,ALGO/INR,ALGO,INR,1.8884226263218544,90429.86632907,72198.49945908,194899.46488471,0.08127140724964209,3.391e-07,2021-10-10T17:12:11.000Z,1
24,algorand,WazirX,ALGO/INR,ALGO,INR,1.8795049271420148,4291.97008594,6506.4048559,86774.52091132,0.036184231865634686,1.719e-07,2021-10-10T17:12:12.000Z,2
25,algorand,Giottus,ALGO/INR,ALGO,INR,1.8647441384995638,11.01949011,69.76645844,121.24939337,5.055995835172961e-05,3.68e-08,2021-10-10T17:12:11.000Z,3
26,algorand,Rekeningku.com,ALGO/IDR,ALGO,IDR,1.819476251819,452873125.76859224,398218969.38878584,1521727.12931845,0.6345471770424075,1.2242e-06,2021-10-10T17:12:11.000Z,1
27,algorand,Indodax,ALGO/IDR,ALGO,IDR,1.8236847551,75691.87115393,89354.42992898,213383.4376519,0.08897906555051126,6.565e-07,2021-10-10T17:13:54.000Z,2
28,algorand,Zipmex,ALGO/IDR,ALGO,IDR,1.80972655255135,17594.77244163,22132.72179787,13228.87990793,0.005516329596338115,4.76e-07,2021-10-10T17:12:10.000Z,3
29,algorand,Triv Pro,ALGO/IDR,ALGO,IDR,0.6305740749365,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:12:08.000Z,4
30,algorand,Huobi Global,ALGO/HUSD,ALGO,HUSD,1.8139903636019632,14850.22709337,16902.89545258,91208.28980297,0.03803307551154841,0.0029106034,2021-10-10T17:13:53.000Z,1
31,algorand,Coinbase Exchange,ALGO/GBP,ALGO,GBP,1.8291097452233596,348690.7817622,472066.10980039,2592695.38679354,1.0811317659543591,1.1055e-06,2021-10-10T16:57:23.000Z,1
32,algorand,Kraken,ALGO/GBP,ALGO,GBP,1.8174021359580121,37025.31076549,60072.75419766,453239.91995737,0.18899716394008614,7.242e-07,2021-10-10T17:13:54.000Z,2
33,algorand,Coinbase Exchange,ALGO/EUR,ALGO,EUR,1.8138671689695292,372622.37331787,404872.23849061,3147661.74206223,1.3125479819792274,1.1046e-06,2021-10-10T17:09:10.000Z,1
34,algorand,Kraken,ALGO/EUR,ALGO,EUR,1.8136357640873488,351946.67379552,314988.22852456,1945618.8631135,0.8113063987641957,1.3911e-06,2021-10-10T17:13:54.000Z,2
35,algorand,Bitstamp,ALGO/EUR,ALGO,EUR,1.8128952684643722,86099.20536413,115409.90906649,534410.01822209,0.22284439957240446,7.242e-07,2021-10-10T17:13:53.000Z,3
36,algorand,EXMO,ALGO/EUR,ALGO,EUR,1.8737738433805458,55.58123389,18.59592249,1003.76188968,0.00041856010926509925,5.36e-08,2021-10-10T17:12:07.000Z,4
37,algorand,Huobi Global,ALGO/ETH,ALGO,ETH,1.8166978099467315,37098.30366184,57852.12837372,276896.90840278,0.11546363876514994,0.0031666955,2021-10-10T17:13:53.000Z,1
38,algorand,Bibox,ALGO/ETH,ALGO,ETH,1.8157490509357341,8.51457399,10.26875911,215591.1478138,0.08989966177566294,0.0001558167,2021-10-10T17:12:10.000Z,2
39,algorand,KuCoin,ALGO/ETH,ALGO,ETH,1.8202117322096845,28754.39379675,81976.46040679,152477.11060246,0.06358164892526295,0.0029672887,2021-10-10T17:13:53.000Z,3
40,algorand,Kraken,ALGO/ETH,ALGO,ETH,1.8117783187785972,106925.18451677,113891.69785075,104491.99907163,0.04357226848161493,0.0056891292,2021-10-10T17:13:54.000Z,4
41,algorand,HitBTC,ALGO/ETH,ALGO,ETH,1.8148705703699959,785624.02342259,145760.28311436,22189.5782722,0.009252864052369454,0.0040925478,2021-10-10T17:12:07.000Z,5
42,algorand,Crypto.com Exchange,ALGO/CRO,ALGO,CRO,1.8265041621840468,106432.12043558,135705.80346265,97768.38419172,0.04076857867457438,0.0019943107,2021-10-10T17:12:07.000Z,1
43,algorand,Mandala Exchange,ALGO/BUSD,ALGO,BUSD,1.8134313882300408,32429.1117231,32489.16294594,7012018.56667819,2.923951673811199,323.4238043279,2021-10-10T17:12:11.000Z,1
44,algorand,Binance,ALGO/BUSD,ALGO,BUSD,1.8126319034341716,208020.3386986,383540.44760959,6829270.14674668,2.8477471482150514,925.3442854601878,2021-10-10T17:13:54.000Z,2
45,algorand,Binance TR,ALGO/BUSD,ALGO,BUSD,1.8134313882300408,0.0,0.0,1617321.58344448,0.6744092455025723,0.0,2021-10-10T17:12:10.000Z,3
46,algorand,Binance.US,ALGO/BUSD,ALGO,BUSD,1.8131315814315898,99667.61324683,71688.26085152,524865.2180251,0.21886429965584028,627.8399820674149,2021-10-10T17:13:53.000Z,4
47,algorand,Tokocrypto,ALGO/BUSD,ALGO,BUSD,1.8134313882300408,3217792.04378311,410362.69820987,44299.85477989,0.018472659948277216,0.0113725219,2021-10-10T17:12:09.000Z,5
48,algorand,Binance,ALGO/BTC,ALGO,BTC,1.8135772085662147,226333.24031052,335470.44155553,6234548.87850575,2.599753474041428,773.6544410927427,2021-10-10T17:13:54.000Z,1
49,algorand,Coinbase Exchange,ALGO/BTC,ALGO,BTC,1.8163342429361846,323520.06678658,440353.25858418,2176791.2224496,0.9077032922681283,0.0059368296,2021-10-10T17:07:23.000Z,2
50,algorand,Dsdaq,ALGO/BTC,ALGO,BTC,1.8273623804160644,6424.21087853,5375.58227424,1374624.78428649,0.5732067593170855,0.0012729728,2021-10-10T17:12:07.000Z,4
51,algorand,BHEX (BlueHelix Exchange),ALGO/BTC,ALGO,BTC,1.8273623804160644,8142.29269213,5820.07017744,1374624.78428649,0.5732067593170855,0.0013429046,2021-10-10T17:12:07.000Z,5
52,algorand,Mexo Exchange,ALGO/BTC,ALGO,BTC,1.8273623804160644,7676.03395285,5105.26105964,1374624.78428649,0.5732067593170855,0.0013363105,2021-10-10T17:12:08.000Z,3
53,algorand,Binance,ALGO/BNB,ALGO,BNB,1.8141747825290497,17973.63941643,80706.30356713,488346.8246603,0.2036364424577258,883.0725741588674,2021-10-10T17:13:54.000Z,1
54,algorand,CoinDCX,ALGO/BNB,ALGO,BNB,1.8154222096084875,396244.14168637,2996388.96487259,446.58263672,0.00018622113385975442,235.2170021396,2021-10-10T17:12:14.000Z,2
55,algorand,Mandala Exchange,ALGO/BIDR,ALGO,BIDR,1.81443011234265,8692227.72170463,7660109.30288402,39419.58772712,0.016437630394105274,19.2585708729,2021-10-10T17:12:11.000Z,1
56,algorand,Binance,ALGO/BIDR,ALGO,BIDR,1.81421998725726,5194.48520282,4175.0658036,38442.65026859,0.016030255842838095,622.1928386602635,2021-10-10T17:13:54.000Z,2
57,algorand,Tokocrypto,ALGO/BIDR,ALGO,BIDR,1.81443011234265,11261.98093226,4130.23602365,23995.23392229,0.010005806990298445,58.0309788323,2021-10-10T17:12:09.000Z,3
58,algorand,CoinEx,ALGO/BCH,ALGO,BCH,1.824862021458287,4257.50147128,4276.2906255,7361.39752352,0.003069639705857579,0.0015542437,2021-10-10T17:13:53.000Z,1
59,algorand,BTC Markets,ALGO/AUD,ALGO,AUD,1.8255994748495754,55678.67932183,39991.05217362,280571.7773896,0.11699602765186953,3.894e-07,2021-10-10T17:12:09.000Z,1
60,algorand,Bitfinex,ALG/UST,ALG,UST,1.8139235419262019,42242.23245915,53732.90499145,87642.99675696,0.03654637885346371,0.0043613016,2021-10-10T17:13:53.000Z,1
61,algorand,Bitfinex,ALG/USD,ALG,USD,1.8137,150346.93586005,180650.97465599,708345.78390341,0.29537412383987144,9.547e-07,2021-10-10T17:13:53.000Z,1
62,algorand,Bitfinex,ALG/BTC,ALG,BTC,1.8135772085662147,18352.6886833,18400.70539324,42565.35019329,0.017749386394307603,0.0029214315,2021-10-10T17:13:53.000Z,1
63,avalanche,Bitfinex,AVAX/UST,AVAX,UST,58.98050775985351,0.0,0.0,167060.1887614,0.04759523678639159,0.0,2021-10-10T17:13:53.000Z,1
64,avalanche,Mandala Exchange,AVAX/USDT,AVAX,USDT,58.94451721338672,19241.86804869,34854.90805795,112423086.53816684,32.02919536792341,297.1592882302,2021-10-10T17:12:11.000Z,1
65,avalanche,Binance,AVAX/USDT,AVAX,USDT,58.8645382212383,1108767.62495991,2803166.7797845,110227327.30212297,31.403626334748935,710.089749571483,2021-10-10T17:13:54.000Z,2
