,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth
0,ALGO/XLM,Stellarterm,0.0,0.0,0.0,0.0
1,ALGO/XBT,Kraken,278183.96105513,0.11600032869563662,239196.93793755,299785.89680092
2,ALGO/USDT,Binance JEX,55493886.08862861,23.140475110293657,0.0,0.0
3,ALGO/USDT,Mandala Exchange,44749062.85700852,18.659975868292303,51035.55677477,92015.93677312
4,ALGO/USDT,Binance,43732344.02071774,18.23601282328626,592295.55202572,1193613.30136826
5,ALGO/USDT,OKEx,25657427.9767976,10.69892767183408,219221.41246219,430933.94914359
6,ALGO/USDT,Bitrue,24142438.76882364,10.067190150271886,52351.60381552,63278.74928893
7,ALGO/USDC,Crypto.com Exchange,241044.70553631,0.1005135772979147,680098.05961156,580274.36761243
8,ALGO/USDC,CoinJar,20250.42806388,0.008444255027240383,80098.53439337,132493.67988103
9,ALGO/USD,Coinbase Exchange,30233245.962,12.607004572894857,1247089.73171433,1818216.77412958
10,ALGO/USD,HitBTC,14551052.68350371,6.067664317352377,1154004.8936021,170462.01799619
11,ALGO/USD,Binance.US,4625105.3584,1.928629313463636,288930.95611958,531703.25315325
12,ALGO/USD,Kraken,2503565.56520931,1.0439653938848164,649117.182863,841407.22342951
13,ALGO/USD,Coinlist Pro,309101.0835,0.1288925039034568,50678.72660309,50386.39017478
14,ALGO/TUSD,Binance,0.0,0.0,2188.93057082,11216.71573558
15,ALGO/TRY,Paribu,1916546.1237049,0.7991833154825833,112382.50549501,288056.02134793
16,ALGO/TRY,Bitci,13306.85737588,0.005548845532478879,9109.09797291,1059.42300382
17,ALGO/THB,Satang Pro,5434.13943244,0.002265989591743703,4535.59084901,9.19817825
18,ALGO/RUB,EXMO,1227572.54761911,0.5118872363505402,36.84674641,874.10293166
19,ALGO/QC,ZB.COM,2221560.90403986,0.9263718659715557,7826.10758287,4439.79917028
20,ALGO/KRW,Bithumb,928871.12684826,0.38733130271637395,165358.19907302,182997.39236572
21,ALGO/KRW,Korbit,18982.16141069,0.007915398697473049,44296.39446769,50102.58947264
22,ALGO/KCS,KuCoin,33798.8074479,0.0140938131681141,20930.21941203,23415.40583323
23,ALGO/INR,Bitbns,194899.46488471,0.08127140724964209,90429.86632907,72198.49945908
24,ALGO/INR,WazirX,86774.52091132,0.036184231865634686,4291.97008594,6506.4048559
25,ALGO/INR,Giottus,121.24939337,5.055995835172961e-05,11.01949011,69.76645844
26,ALGO/IDR,Rekeningku.com,1521727.12931845,0.6345471770424075,452873125.76859224,398218969.38878584
27,ALGO/IDR,Indodax,213383.4376519,0.08897906555051126,75691.87115393,89354.42992898
28,ALGO/IDR,Zipmex,13228.87990793,0.005516329596338115,17594.77244163,22132.72179787
29,ALGO/IDR,Triv Pro,0.0,0.0,0.0,0.0
30,ALGO/HUSD,Huobi Global,91208.28980297,0.03803307551154841,14850.22709337,16902.89545258
31,ALGO/GBP,Coinbase Exchange,2592695.38679354,1.0811317659543591,348690.7817622,472066.10980039
32,ALGO/GBP,Kraken,453239.91995737,0.18899716394008614,37025.31076549,60072.75419766
33,ALGO/EUR,Coinbase Exchange,3147661.74206223,1.3125479819792274,372622.37331787,404872.23849061
34,ALGO/EUR,Kraken,1945618.8631135,0.8113063987641957,351946.67379552,314988.22852456
35,ALGO/EUR,Bitstamp,534410.01822209,0.22284439957240446,86099.20536413,115409.90906649
36,ALGO/EUR,EXMO,1003.76188968,0.00041856010926509925,55.58123389,18.59592249
37,ALGO/ETH,Huobi Global,276896.90840278,0.11546363876514994,37098.30366184,57852.12837372
38,ALGO/ETH,Bibox,215591.1478138,0.08989966177566294,8.51457399,10.26875911
